requestId,materialId,materialName,unit,onHandQuantity,reservedQuantity,blockedQuantity,qualityHoldQuantity,availableQuantity,averageDailyUsage,safetyStockQuantity,inventoryDays,safetyStockDays,nextEtaDays,supplierDependencyRatio,purchaseOrderStatus,alternativeSupplierStatus,supplierStatus,primarySupplierId,primaryContractId,dataQualityStatus
ERP-REQ-001,MAT-LI-CARB,Lithium Carbonate,KG,40320,2376,1080,864,36000,1000,15000,36,15,8,0.45,CONFIRMED,APPROVED,ACTIVE,SUP-CHL-01,CTR-001,VALID
ERP-REQ-002,MAT-LI-OH,Lithium Hydroxide,KG,24640,1452,660,528,22000,1000,18000,22,18,14,0.55,CONFIRMED,APPROVED,ACTIVE,SUP-AUS-01,CTR-004,VALID
ERP-REQ-003,MAT-NI-SULF,Nickel Sulfate,KG,12320,726,330,264,11000,1000,20000,11,20,9,0.68,CONFIRMED,APPROVED,UNDER_REVIEW,SUP-IDN-01,CTR-007,VALID
ERP-REQ-004,MAT-CO-SULF,Cobalt Sulfate,KG,7280,429,195,156,6500,1000,18000,6.5,18,15,0.84,DELAYED,NONE,ACTIVE,SUP-COD-01,CTR-010,VALID
ERP-REQ-005,MAT-GR-NAT,Natural Graphite,KG,15680,924,420,336,14000,800,17600,17.5,22,13,0.62,CONFIRMED,CONDITIONAL,UNDER_REVIEW,SUP-CHN-01,CTR-013,VALID
ERP-REQ-006,MAT-GR-SYN,Synthetic Graphite,KG,6720,396,180,144,6000,600,12000,10,20,21,0.91,DELAYED,NONE,ACTIVE,SUP-CHN-02,CTR-016,VALID
ERP-REQ-007,MAT-MN-SULF,Manganese Sulfate,KG,14000,825,375,300,12500,,16000,,,,0.52,OPEN,APPROVED,ACTIVE,SUP-ZAF-01,CTR-018,INCOMPLETE
ERP-REQ-008,MAT-CU-FOIL,Copper Foil,KG,20160,1188,540,432,18000,1200,25200,15,21,14,0.58,PARTIALLY_RECEIVED,APPROVED,ACTIVE,SUP-JPN-01,CTR-021,VALID
ERP-REQ-009,MAT-AL-FOIL,Aluminum Foil,KG,31360,1848,840,672,28000,900,16200,31.11111111111111,18,12,0.49,CONFIRMED,APPROVED,ACTIVE,SUP-KOR-02,CTR-024,VALID
ERP-REQ-010,MAT-REE-ND,Neodymium Oxide,KG,10080,594,270,216,9000,450,6750,20,15,18,0.93,DELAYED,NONE,SUSPENDED,SUP-CHN-01,CTR-027,VALID
