product_id,material_category
PROD-001,NICKEL
PROD-001,COBALT
PROD-001,MANGANESE
PROD-001,LITHIUM
PROD-001,GRAPHITE
PROD-002,NICKEL
PROD-002,COBALT
PROD-002,MANGANESE
PROD-002,LITHIUM
PROD-002,GRAPHITE
PROD-003,NICKEL
PROD-003,COBALT
PROD-003,LITHIUM
PROD-003,GRAPHITE
PROD-004,NICKEL
PROD-004,COBALT
PROD-004,LITHIUM
PROD-004,GRAPHITE
PROD-004,COPPER
PROD-005,NICKEL
PROD-005,COBALT
PROD-005,LITHIUM
PROD-005,GRAPHITE
PROD-005,COPPER
PROD-006,LITHIUM
PROD-006,GRAPHITE
PROD-007,LITHIUM
PROD-007,GRAPHITE
PROD-007,ALUMINUM
PROD-008,NICKEL
PROD-008,COBALT
PROD-008,ALUMINUM
PROD-008,LITHIUM
PROD-008,GRAPHITE
PROD-009,NICKEL
PROD-009,COBALT
PROD-009,MANGANESE
PROD-009,LITHIUM
PROD-009,GRAPHITE
PROD-009,ALUMINUM
PROD-010,NICKEL
PROD-010,COBALT
PROD-010,MANGANESE
PROD-010,LITHIUM
PROD-010,GRAPHITE
PROD-011,NICKEL
PROD-011,COBALT
PROD-011,LITHIUM
PROD-011,GRAPHITE
PROD-011,COPPER
PROD-011,ALUMINUM
PROD-012,LITHIUM
PROD-012,GRAPHITE
PROD-012,ALUMINUM
PROD-013,LITHIUM
PROD-013,GRAPHITE
PROD-013,ALUMINUM
PROD-013,COPPER
PROD-014,LITHIUM
PROD-014,GRAPHITE
PROD-015,RARE_EARTH
PROD-016,RARE_EARTH
PROD-016,COPPER
