material_id,material_code,material_name,material_category,base_unit,criticality,active,erp_group_code,created_at,updated_at
MAT-LI-CARB,RM-LI-001,Lithium Carbonate,LITHIUM,KG,HIGH,true,BATT-01,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-LI-OH,RM-LI-002,Lithium Hydroxide,LITHIUM,KG,HIGH,true,BATT-02,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-NI-SULF,RM-NI-001,Nickel Sulfate,NICKEL,KG,HIGH,true,BATT-03,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-CO-SULF,RM-CO-001,Cobalt Sulfate,COBALT,KG,HIGH,true,BATT-04,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-GR-NAT,RM-GR-001,Natural Graphite,GRAPHITE,KG,HIGH,true,BATT-05,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-GR-SYN,RM-GR-002,Synthetic Graphite,GRAPHITE,KG,HIGH,true,BATT-06,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-MN-SULF,RM-MN-001,Manganese Sulfate,MANGANESE,KG,MEDIUM,true,BATT-07,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-CU-FOIL,RM-CU-001,Copper Foil,COPPER,KG,HIGH,true,BATT-08,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-AL-FOIL,RM-AL-001,Aluminum Foil,ALUMINUM,KG,MEDIUM,true,BATT-09,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
MAT-REE-ND,RM-REE-001,Neodymium Oxide,RARE_EARTH,KG,HIGH,true,BATT-10,2024-08-01T00:00:00+09:00,2026-07-21T00:00:00+09:00
