contract_id,contract_number,supplier_id,material_id,contract_name,contract_status,effective_date,expiration_date,document_id,document_source,document_path,contract_role,supplier_approval_status,indexed_at,updated_at
CTR-001,BA-2025-0001,SUP-CHL-01,MAT-LI-CARB,Lithium Carbonate Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-001,MOCK_INTERNAL,contracts/CTR-001.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-002,BA-2025-0002,SUP-AUS-01,MAT-LI-CARB,Lithium Carbonate Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-002,MOCK_INTERNAL,contracts/CTR-002.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-003,BA-2025-0003,SUP-KOR-01,MAT-LI-CARB,Lithium Carbonate Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-003,MOCK_INTERNAL,contracts/CTR-003.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-004,BA-2025-0004,SUP-AUS-01,MAT-LI-OH,Lithium Hydroxide Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-004,MOCK_INTERNAL,contracts/CTR-004.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-005,BA-2025-0005,SUP-CHL-01,MAT-LI-OH,Lithium Hydroxide Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-005,MOCK_INTERNAL,contracts/CTR-005.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-006,BA-2025-0006,SUP-KOR-01,MAT-LI-OH,Lithium Hydroxide Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-006,MOCK_INTERNAL,contracts/CTR-006.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-007,BA-2025-0007,SUP-IDN-01,MAT-NI-SULF,Nickel Sulfate Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-007,MOCK_INTERNAL,contracts/CTR-007.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-008,BA-2025-0008,SUP-IDN-02,MAT-NI-SULF,Nickel Sulfate Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-008,MOCK_INTERNAL,contracts/CTR-008.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-009,BA-2025-0009,SUP-FIN-01,MAT-NI-SULF,Nickel Sulfate Supply Agreement 3,ACTIVE,2025-08-16,2027-08-31,DOC-009,MOCK_INTERNAL,contracts/CTR-009.pdf,ALTERNATIVE,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-010,BA-2025-0010,SUP-COD-01,MAT-CO-SULF,Cobalt Sulfate Supply Agreement 1,ACTIVE,2025-07-07,2027-07-02,DOC-010,MOCK_INTERNAL,contracts/CTR-010.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-011,BA-2025-0011,SUP-COD-02,MAT-CO-SULF,Cobalt Sulfate Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-011,MOCK_INTERNAL,contracts/CTR-011.pdf,ALTERNATIVE,CONDITIONAL,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-012,BA-2025-0012,SUP-CAN-01,MAT-CO-SULF,Cobalt Sulfate Supply Agreement 3,PENDING,2025-08-16,2027-08-31,DOC-012,MOCK_INTERNAL,contracts/CTR-012.pdf,ALTERNATIVE,PENDING,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-013,BA-2025-0013,SUP-CHN-01,MAT-GR-NAT,Natural Graphite Supply Agreement 1,EXPIRING,2025-07-07,2026-08-11,DOC-013,MOCK_INTERNAL,contracts/CTR-013.pdf,PRIMARY,APPROVED,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-014,BA-2025-0014,SUP-CAN-01,MAT-GR-NAT,Natural Graphite Supply Agreement 2,ACTIVE,2025-07-27,2027-08-01,DOC-014,MOCK_INTERNAL,contracts/CTR-014.pdf,ALTERNATIVE,CONDITIONAL,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
CTR-015,BA-2025-0015,SUP-KOR-01,MAT-GR-NAT,Natural Graphite Supply Agreement 3,PENDING,2025-08-16,2027-08-31,DOC-015,MOCK_INTERNAL,contracts/CTR-015.pdf,ALTERNATIVE,PENDING,2026-06-22T00:00:00+09:00,2026-07-20T00:00:00+09:00
