supplier_material_id,supplier_id,material_id,supply_share_ratio,lead_time_days,minimum_order_quantity,approved_status,priority_rank,is_alternative,valid_from,valid_to,contract_id
SM-001,SUP-CHL-01,MAT-LI-CARB,0.45,15,900,APPROVED,1,false,2025-01-28,2027-07-22,CTR-001
SM-002,SUP-AUS-01,MAT-LI-CARB,0.3,21,1400,APPROVED,2,true,2025-01-28,2027-07-22,CTR-002
SM-003,SUP-KOR-01,MAT-LI-CARB,0.25,27,1300,APPROVED,3,true,2025-01-28,2027-07-22,CTR-003
SM-004,SUP-AUS-01,MAT-LI-OH,0.55,10,1800,APPROVED,1,false,2025-01-28,2027-07-22,CTR-004
SM-005,SUP-CHL-01,MAT-LI-OH,0.25,36,500,APPROVED,2,true,2025-01-28,2027-07-22,CTR-005
SM-006,SUP-KOR-01,MAT-LI-OH,0.2,33,800,APPROVED,3,true,2025-01-28,2027-07-22,CTR-006
SM-007,SUP-IDN-01,MAT-NI-SULF,0.68,16,600,APPROVED,1,false,2025-01-28,2027-07-22,CTR-007
SM-008,SUP-IDN-02,MAT-NI-SULF,0.2,13,1300,APPROVED,2,true,2025-01-28,2027-07-22,CTR-008
SM-009,SUP-FIN-01,MAT-NI-SULF,0.12,41,900,APPROVED,3,true,2025-01-28,2027-07-22,CTR-009
SM-010,SUP-COD-01,MAT-CO-SULF,0.84,18,800,APPROVED,1,false,2025-01-28,2027-07-22,CTR-010
SM-011,SUP-COD-02,MAT-CO-SULF,0.11,22,1600,CONDITIONAL,2,true,2025-01-28,2027-07-22,CTR-011
SM-012,SUP-CAN-01,MAT-CO-SULF,0.05,30,900,PENDING,3,true,2025-01-28,2027-07-22,CTR-012
SM-013,SUP-CHN-01,MAT-GR-NAT,0.62,32,1500,APPROVED,1,false,2025-01-28,2027-07-22,CTR-013
SM-014,SUP-CAN-01,MAT-GR-NAT,0.23,39,900,CONDITIONAL,2,true,2025-01-28,2027-07-22,CTR-014
SM-015,SUP-KOR-01,MAT-GR-NAT,0.15,19,1200,PENDING,3,true,2025-01-28,2027-07-22,CTR-015
SM-016,SUP-CHN-02,MAT-GR-SYN,0.91,16,1900,APPROVED,1,false,2025-01-28,2027-07-22,CTR-016
SM-017,SUP-JPN-01,MAT-GR-SYN,0.09,22,1300,PENDING,2,true,2025-01-28,2027-07-22,CTR-017
SM-018,SUP-ZAF-01,MAT-MN-SULF,0.52,32,1900,APPROVED,1,false,2025-01-28,2027-07-22,CTR-018
SM-019,SUP-BRA-01,MAT-MN-SULF,0.28,22,400,APPROVED,2,true,2025-01-28,2027-07-22,CTR-019
SM-020,SUP-KOR-02,MAT-MN-SULF,0.2,42,900,APPROVED,3,true,2025-01-28,2027-07-22,CTR-020
SM-021,SUP-JPN-01,MAT-CU-FOIL,0.58,10,1400,APPROVED,1,false,2025-01-28,2027-07-22,CTR-021
SM-022,SUP-KOR-02,MAT-CU-FOIL,0.27,24,1600,APPROVED,2,true,2025-01-28,2027-07-22,CTR-022
SM-023,SUP-DEU-01,MAT-CU-FOIL,0.15,26,1900,APPROVED,3,true,2025-01-28,2027-07-22,CTR-023
SM-024,SUP-KOR-02,MAT-AL-FOIL,0.49,25,1600,APPROVED,1,false,2025-01-28,2027-07-22,CTR-024
SM-025,SUP-JPN-01,MAT-AL-FOIL,0.31,14,1800,APPROVED,2,true,2025-01-28,2027-07-22,CTR-025
SM-026,SUP-DEU-01,MAT-AL-FOIL,0.2,37,800,APPROVED,3,true,2025-01-28,2027-07-22,CTR-026
SM-027,SUP-CHN-01,MAT-REE-ND,0.93,38,1100,APPROVED,1,false,2025-01-28,2027-07-22,CTR-027
SM-028,SUP-USA-01,MAT-REE-ND,0.07,32,700,PENDING,2,true,2025-01-28,2027-07-22,CTR-028
SM-033,SUP-PHL-01,MAT-NI-SULF,0.10,35,800,APPROVED,4,true,2025-02-01,2027-09-01,CTR-033
SM-034,SUP-ARG-01,MAT-LI-CARB,0.10,38,700,APPROVED,4,true,2025-02-15,2027-09-15,CTR-034
