inventory_snapshot_id,material_id,warehouse_id,on_hand_quantity,reserved_quantity,blocked_quantity,quality_hold_quantity,safety_stock_quantity,snapshot_at,is_current,source_unit,normalized_unit,data_quality_flag
INV-0001,MAT-LI-CARB,WH-ICN-01,17978,808,367,294,5100,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0002,MAT-LI-CARB,WH-ICN-01,16460,808,367,294,5100,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0003,MAT-LI-CARB,WH-ICN-01,13709,808,367,294,5100,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0004,MAT-LI-CARB,WH-ULS-01,15653,665,302,242,4200,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0005,MAT-LI-CARB,WH-ULS-01,13269,665,302,242,4200,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0006,MAT-LI-CARB,WH-ULS-01,11290,665,302,242,4200,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0007,MAT-LI-CARB,WH-GMI-01,12596,546,248,199,3450,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0008,MAT-LI-CARB,WH-GMI-01,10654,546,248,199,3450,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0009,MAT-LI-CARB,WH-GMI-01,9274,546,248,199,3450,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0010,MAT-LI-CARB,WH-BUS-01,8187,357,163,129,2250,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0011,MAT-LI-CARB,WH-BUS-01,7262,357,163,129,2250,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
INV-0012,MAT-LI-CARB,WH-BUS-01,6047,357,163,129,2250,2026-07-22T11:00:00+09:00,true,KG,KG,VALID
INV-0013,MAT-LI-OH,WH-ICN-01,12616,494,224,180,6120,2026-07-08T08:00:00+09:00,false,KG,KG,VALID
INV-0014,MAT-LI-OH,WH-ICN-01,10298,494,224,180,6120,2026-07-15T08:00:00+09:00,false,KG,KG,VALID
INV-0015,MAT-LI-OH,WH-ICN-01,8378,494,224,180,6120,2026-07-22T08:00:00+09:00,true,KG,KG,VALID
INV-0016,MAT-LI-OH,WH-ULS-01,10116,407,185,148,5040,2026-07-08T09:00:00+09:00,false,KG,KG,VALID
INV-0017,MAT-LI-OH,WH-ULS-01,9017,407,185,148,5040,2026-07-15T09:00:00+09:00,false,KG,KG,VALID
INV-0018,MAT-LI-OH,WH-ULS-01,6899,407,185,148,5040,2026-07-22T09:00:00+09:00,true,KG,KG,VALID
INV-0019,MAT-LI-OH,WH-GMI-01,8371,334,152,121,4140,2026-07-08T10:00:00+09:00,false,KG,KG,VALID
INV-0020,MAT-LI-OH,WH-GMI-01,7191,334,152,121,4140,2026-07-15T10:00:00+09:00,false,KG,KG,VALID
INV-0021,MAT-LI-OH,WH-GMI-01,5667,334,152,121,4140,2026-07-22T10:00:00+09:00,true,KG,KG,VALID
INV-0022,MAT-LI-OH,WH-BUS-01,5499,217,99,79,2700,2026-07-08T11:00:00+09:00,false,KG,KG,VALID
INV-0023,MAT-LI-OH,WH-BUS-01,4760,217,99,79,2700,2026-07-15T11:00:00+09:00,false,KG,KG,VALID
