consumption_id,material_id,plant_code,average_daily_usage,calculation_window_days,calculated_at,is_current,data_quality_flag
CON-001,MAT-LI-CARB,PLANT-ULS,500,30,2026-07-21T00:00:00+09:00,true,VALID
CON-002,MAT-LI-CARB,PLANT-GMI,300,30,2026-07-21T00:00:00+09:00,true,VALID
CON-003,MAT-LI-CARB,PLANT-ICN,200,30,2026-07-21T00:00:00+09:00,true,VALID
CON-004,MAT-LI-OH,PLANT-ULS,500,30,2026-07-21T00:00:00+09:00,true,VALID
CON-005,MAT-LI-OH,PLANT-GMI,300,30,2026-07-21T00:00:00+09:00,true,VALID
CON-006,MAT-LI-OH,PLANT-ICN,200,30,2026-07-21T00:00:00+09:00,true,VALID
CON-007,MAT-NI-SULF,PLANT-ULS,500,30,2026-07-21T00:00:00+09:00,true,VALID
CON-008,MAT-NI-SULF,PLANT-GMI,300,30,2026-07-21T00:00:00+09:00,true,VALID
CON-009,MAT-NI-SULF,PLANT-ICN,200,30,2026-07-21T00:00:00+09:00,true,VALID
CON-010,MAT-CO-SULF,PLANT-ULS,500,30,2026-07-21T00:00:00+09:00,true,VALID
CON-011,MAT-CO-SULF,PLANT-GMI,300,30,2026-07-21T00:00:00+09:00,true,VALID
CON-012,MAT-CO-SULF,PLANT-ICN,200,30,2026-07-21T00:00:00+09:00,true,VALID
CON-013,MAT-GR-NAT,PLANT-ULS,400,30,2026-07-21T00:00:00+09:00,true,VALID
CON-014,MAT-GR-NAT,PLANT-GMI,240,30,2026-07-21T00:00:00+09:00,true,VALID
CON-015,MAT-GR-NAT,PLANT-ICN,160,30,2026-07-21T00:00:00+09:00,true,VALID
CON-016,MAT-GR-SYN,PLANT-ULS,300,30,2026-07-21T00:00:00+09:00,true,VALID
CON-017,MAT-GR-SYN,PLANT-GMI,180,30,2026-07-21T00:00:00+09:00,true,VALID
CON-018,MAT-GR-SYN,PLANT-ICN,120,30,2026-07-21T00:00:00+09:00,true,VALID
CON-019,MAT-MN-SULF,PLANT-ULS,,30,2026-06-12T00:00:00+09:00,true,MISSING_USAGE
CON-020,MAT-MN-SULF,PLANT-GMI,,30,2026-06-12T00:00:00+09:00,true,MISSING_USAGE
CON-021,MAT-MN-SULF,PLANT-ICN,,30,2026-06-12T00:00:00+09:00,true,MISSING_USAGE
CON-022,MAT-CU-FOIL,PLANT-ULS,600,30,2026-07-21T00:00:00+09:00,true,VALID
CON-023,MAT-CU-FOIL,PLANT-GMI,360,30,2026-07-21T00:00:00+09:00,true,VALID
CON-024,MAT-CU-FOIL,PLANT-ICN,240,30,2026-07-21T00:00:00+09:00,true,VALID
CON-025,MAT-AL-FOIL,PLANT-ULS,450,30,2026-07-21T00:00:00+09:00,true,VALID
CON-026,MAT-AL-FOIL,PLANT-GMI,270,30,2026-07-21T00:00:00+09:00,true,VALID
CON-027,MAT-AL-FOIL,PLANT-ICN,180,30,2026-07-21T00:00:00+09:00,true,VALID
CON-028,MAT-REE-ND,PLANT-ULS,225,30,2026-07-21T00:00:00+09:00,true,VALID
CON-029,MAT-REE-ND,PLANT-GMI,135,30,2026-07-21T00:00:00+09:00,true,VALID
CON-030,MAT-REE-ND,PLANT-ICN,90,30,2026-07-21T00:00:00+09:00,true,VALID
