purchase_order_id,po_number,supplier_id,order_date,currency,order_status,transport_mode,port_of_entry,created_at,updated_at
PO-0001,PO2026-00001,SUP-CHL-01,2026-06-27,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0002,PO2026-00002,SUP-AUS-01,2026-06-27,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0003,PO2026-00003,SUP-IDN-01,2026-06-27,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0004,PO2026-00004,SUP-COD-01,2026-06-27,USD,DELAYED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0005,PO2026-00005,SUP-CHN-01,2026-06-27,USD,CONFIRMED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0006,PO2026-00006,SUP-CHN-02,2026-06-27,USD,DELAYED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0007,PO2026-00007,SUP-ZAF-01,2026-06-27,USD,OPEN,RAIL,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0008,PO2026-00008,SUP-JPN-01,2026-06-27,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0009,PO2026-00009,SUP-KOR-02,2026-06-27,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0010,PO2026-00010,SUP-CHN-01,2026-06-27,USD,DELAYED,RAIL,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0011,PO2026-00011,SUP-KOR-01,2026-05-08,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0012,PO2026-00012,SUP-CHN-01,2026-05-05,KRW,CLOSED,AIR,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0013,PO2026-00013,SUP-USA-01,2026-03-09,USD,PARTIALLY_RECEIVED,RAIL,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0014,PO2026-00014,SUP-AUS-01,2026-03-01,USD,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0015,PO2026-00015,SUP-COD-02,2026-04-22,EUR,CONFIRMED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0016,PO2026-00016,SUP-COD-01,2026-03-27,KRW,PARTIALLY_RECEIVED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0017,PO2026-00017,SUP-CHN-01,2026-07-03,USD,DELAYED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0018,PO2026-00018,SUP-BRA-01,2026-06-22,KRW,PARTIALLY_RECEIVED,SEA,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0019,PO2026-00019,SUP-BRA-01,2026-02-18,USD,CONFIRMED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0020,PO2026-00020,SUP-USA-01,2026-03-26,EUR,PARTIALLY_RECEIVED,RAIL,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0021,PO2026-00021,SUP-BRA-01,2026-07-09,EUR,CLOSED,AIR,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0022,PO2026-00022,SUP-IDN-01,2026-02-13,EUR,PARTIALLY_RECEIVED,AIR,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0023,PO2026-00023,SUP-KOR-01,2026-05-18,KRW,CLOSED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0024,PO2026-00024,SUP-KOR-01,2026-05-19,USD,CLOSED,SEA,INCHEON,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0025,PO2026-00025,SUP-CHN-02,2026-04-12,EUR,DELAYED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0026,PO2026-00026,SUP-COD-01,2026-02-21,USD,CONFIRMED,RAIL,ULSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
PO-0027,PO2026-00027,SUP-JPN-01,2026-06-29,USD,CLOSED,SEA,BUSAN,2026-07-21T00:00:00+09:00,2026-07-21T00:00:00+09:00
