purchase_order_item_id,purchase_order_id,material_id,contract_id,ordered_quantity,received_quantity,unit,expected_arrival_date,confirmed_arrival_date,unit_price,incoterm,destination_warehouse_id
POI-0001,PO-0001,MAT-LI-CARB,CTR-001,18700,0,KG,2026-07-30,2026-07-30,31.06,CIF,WH-ICN-01
POI-0002,PO-0002,MAT-LI-OH,CTR-004,12100,0,KG,2026-08-05,2026-08-05,27.81,CIF,WH-ICN-01
POI-0003,PO-0003,MAT-NI-SULF,CTR-007,13800,0,KG,2026-07-31,2026-07-31,10.42,CIF,WH-ICN-01
POI-0004,PO-0004,MAT-CO-SULF,CTR-010,17300,0,KG,2026-07-29,2026-08-06,28.07,CIF,WH-ICN-01
POI-0005,PO-0005,MAT-GR-NAT,CTR-013,16600,0,KG,2026-08-04,2026-08-04,23.36,CIF,WH-ICN-01
POI-0006,PO-0006,MAT-GR-SYN,CTR-016,19700,0,KG,2026-08-04,2026-08-12,8.44,CIF,WH-ICN-01
POI-0007,PO-0007,MAT-MN-SULF,CTR-018,19200,0,KG,,,16.29,CIF,WH-ICN-01
POI-0008,PO-0008,MAT-CU-FOIL,CTR-021,16800,6720,KG,2026-08-05,2026-08-05,40.67,CIF,WH-ICN-01
POI-0009,PO-0009,MAT-AL-FOIL,CTR-024,15500,0,KG,2026-08-03,2026-08-03,17.85,CIF,WH-ICN-01
POI-0010,PO-0010,MAT-REE-ND,CTR-027,19800,0,KG,2026-08-01,2026-08-09,14.61,CIF,WH-ICN-01
POI-0011,PO-0011,MAT-GR-NAT,CTR-015,21500,0,KG,2026-08-21,2026-08-21,19.03,DAP,WH-ULS-01
POI-0012,PO-0011,MAT-LI-OH,CTR-006,13500,0,KG,2026-08-15,2026-08-15,20.66,FOB,WH-GMI-01
POI-0013,PO-0012,MAT-GR-NAT,CTR-013,17300,17300,KG,2026-06-21,2026-06-21,20.67,CIF,WH-ICN-01
POI-0014,PO-0012,MAT-REE-ND,CTR-027,13500,13500,KG,2026-04-08,2026-04-08,54.68,CIF,WH-ICN-01
POI-0015,PO-0013,MAT-REE-ND,CTR-028,10000,6400,KG,2026-08-20,2026-08-20,65.08,CIF,WH-ICN-01
POI-0016,PO-0014,MAT-LI-OH,CTR-004,24800,9100,KG,2026-08-27,2026-08-27,70.62,DAP,WH-GMI-01
POI-0017,PO-0015,MAT-CO-SULF,CTR-011,7000,0,KG,2026-08-16,2026-08-16,71.73,FOB,WH-ICN-01
POI-0018,PO-0016,MAT-CO-SULF,CTR-010,6800,3400,KG,2026-09-03,2026-09-03,7.21,CIF,WH-BUS-01
POI-0019,PO-0017,MAT-GR-NAT,CTR-013,23800,0,KG,2026-08-17,2026-08-24,60.76,FOB,WH-BUS-01
POI-0020,PO-0017,MAT-REE-ND,CTR-027,11700,0,KG,2026-08-14,2026-08-21,17.26,CIF,WH-BUS-01
POI-0021,PO-0018,MAT-MN-SULF,CTR-019,8300,4300,KG,2026-09-01,2026-09-01,34.79,FOB,WH-ULS-01
POI-0022,PO-0019,MAT-MN-SULF,CTR-019,18000,0,KG,2026-08-28,2026-08-28,56.66,CIF,WH-GMI-01
POI-0023,PO-0020,MAT-REE-ND,CTR-028,16100,9900,KG,2026-08-17,2026-08-17,10.09,DAP,WH-GMI-01
POI-0024,PO-0021,MAT-MN-SULF,CTR-019,23000,23000,KG,2026-05-01,2026-05-01,42.05,CIF,WH-ULS-01
POI-0025,PO-0022,MAT-NI-SULF,CTR-007,22500,10700,KG,2026-09-03,2026-09-03,46.34,CIF,WH-ULS-01
POI-0026,PO-0023,MAT-LI-CARB,CTR-003,15400,15400,KG,2026-04-10,2026-04-10,22.37,CIF,WH-ULS-01
POI-0027,PO-0023,MAT-LI-OH,CTR-006,4200,4200,KG,2026-05-06,2026-05-06,73.93,FOB,WH-ULS-01
POI-0028,PO-0024,MAT-LI-CARB,CTR-003,17700,17700,KG,2026-06-05,2026-06-05,55.83,CIF,WH-ULS-01
POI-0029,PO-0025,MAT-GR-SYN,CTR-016,19500,0,KG,2026-09-11,2026-09-18,74.92,DAP,WH-ULS-01
POI-0030,PO-0026,MAT-CO-SULF,CTR-010,21400,0,KG,2026-09-06,2026-09-06,59.52,FOB,WH-ULS-01
POI-0031,PO-0027,MAT-AL-FOIL,CTR-025,16100,16100,KG,2026-06-13,2026-06-13,74.47,DAP,WH-BUS-01
POI-0032,PO-0028,MAT-CO-SULF,CTR-011,23500,0,KG,2026-09-15,2026-09-15,28.88,DAP,WH-ICN-01
POI-0033,PO-0029,MAT-GR-SYN,CTR-016,25500,0,KG,2026-08-18,2026-08-18,25.46,DAP,WH-GMI-01
