goods_receipt_id,purchase_order_item_id,received_quantity,received_at,warehouse_id,quality_status,batch_number,quality_released_at
GR-0001,POI-0008,3071,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00002,2026-07-09T14:00:00+09:00
GR-0002,POI-0008,3649,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00003,2026-07-06T14:00:00+09:00
GR-0003,POI-0013,10748,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00004,2026-07-09T14:00:00+09:00
GR-0004,POI-0013,6552,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00005,2026-07-06T14:00:00+09:00
GR-0005,POI-0014,9116,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00006,2026-07-09T14:00:00+09:00
GR-0006,POI-0014,4384,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00007,2026-07-06T14:00:00+09:00
GR-0007,POI-0015,3237,2026-07-08T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00008,2026-07-09T14:00:00+09:00
GR-0008,POI-0015,3163,2026-07-05T11:00:00+09:00,WH-ICN-01,ACCEPTED,BATCH-00009,2026-07-06T14:00:00+09:00
GR-0009,POI-0016,5221,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00010,2026-07-09T14:00:00+09:00
GR-0010,POI-0016,3879,2026-07-05T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00011,2026-07-06T14:00:00+09:00
GR-0011,POI-0018,2167,2026-07-08T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00012,2026-07-09T14:00:00+09:00
GR-0012,POI-0018,1233,2026-07-05T11:00:00+09:00,WH-BUS-01,ACCEPTED,BATCH-00013,2026-07-06T14:00:00+09:00
GR-0013,POI-0021,2102,2026-07-08T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00014,2026-07-09T14:00:00+09:00
GR-0014,POI-0021,2198,2026-07-05T11:00:00+09:00,WH-ULS-01,ACCEPTED,BATCH-00015,2026-07-06T14:00:00+09:00
GR-0015,POI-0023,6218,2026-07-08T11:00:00+09:00,WH-GMI-01,ACCEPTED,BATCH-00016,2026-07-09T14:00:00+09:00
