contract_id,product_id,customer_id,seller,quantity_gwh,unit_price_usd_kwh,penalty_pct,line_stop_charge_usd,line_stop_charge_krw,delivery_lead_time_days,contract_language
CTR-OUT-001,PROD-004,CUST-001,LG에너지솔루션,21,94,1.0,500000.0,,120,EN
CTR-OUT-002,PROD-005,CUST-001,LG에너지솔루션,18,118,0.1,1500000.0,,55,EN
CTR-OUT-003,PROD-001,CUST-002,LG에너지솔루션,28,74,0.5,1500000.0,,93,EN
CTR-OUT-004,PROD-003,CUST-003,LG에너지솔루션,6,119,1.5,2000000.0,,82,EN
CTR-OUT-005,PROD-011,CUST-003,LG에너지솔루션,26,77,1.0,1500000.0,,120,EN
CTR-OUT-006,PROD-009,CUST-004,LG에너지솔루션,22,129,0.3,1000000.0,,35,EN
CTR-OUT-007,PROD-008,CUST-005,LG에너지솔루션,26,127,0.1,800000.0,,37,EN
CTR-OUT-008,PROD-002,CUST-006,LG에너지솔루션,21,122,1.0,800000.0,,41,EN
CTR-OUT-009,PROD-001,CUST-007,LG에너지솔루션,39,126,0.3,,1500000000.0,36,KR
CTR-OUT-010,PROD-010,CUST-007,LG에너지솔루션,22,80,0.1,,1500000000.0,79,KR
CTR-OUT-011,PROD-003,CUST-008,LG에너지솔루션,6,99,1.5,,500000000.0,113,KR
CTR-OUT-012,PROD-011,CUST-008,LG에너지솔루션,35,105,1.0,,1500000000.0,114,KR
CTR-OUT-013,PROD-011,CUST-009,LG에너지솔루션,33,78,0.3,800000.0,,39,EN
CTR-OUT-014,PROD-002,CUST-010,LG에너지솔루션,10,94,1.0,800000.0,,46,EN
CTR-OUT-015,PROD-009,CUST-011,LG에너지솔루션,13,103,1.5,800000.0,,100,EN
CTR-OUT-016,PROD-007,CUST-012,LG에너지솔루션,6,97,0.1,1000000.0,,94,EN
CTR-OUT-017,PROD-015,CUST-013,LG에너지솔루션,28,74,1.0,,800000000.0,93,KR
CTR-OUT-018,PROD-006,CUST-014,LG에너지솔루션,17,82,1.0,800000.0,,96,EN
CTR-OUT-019,PROD-001,CUST-015,LG에너지솔루션,33,94,0.1,1000000.0,,43,EN
CTR-OUT-020,PROD-005,CUST-016,LG에너지솔루션,12,97,0.3,2000000.0,,66,EN
CTR-OUT-021,PROD-003,CUST-017,LG에너지솔루션,8,90,1.5,800000.0,,87,EN
CTR-OUT-022,PROD-010,CUST-018,LG에너지솔루션,25,129,0.5,500000.0,,76,EN
CTR-OUT-023,PROD-004,CUST-019,LG에너지솔루션,15,83,0.3,500000.0,,56,EN
CTR-OUT-024,PROD-001,CUST-020,LG에너지솔루션,24,100,2.0,1000000.0,,64,EN
CTR-OUT-025,PROD-016,CUST-020,LG에너지솔루션,14,71,0.1,1000000.0,,67,EN
CTR-OUT-026,PROD-013,CUST-021,LG에너지솔루션,27,70,1.0,1000000.0,,49,EN
CTR-OUT-027,PROD-012,CUST-022,LG에너지솔루션,9,110,0.3,2000000.0,,119,EN
CTR-OUT-028,PROD-006,CUST-002,LG에너지솔루션,15.0,88.0,0.5,,,60,EN
CTR-OUT-029,PROD-007,CUST-002,LG에너지솔루션,15.0,88.0,0.5,,,60,EN
